ID,Data,Produto,Categoria,Quantidade,Preco,Cidade
37,2023-08-13,Calça,Vestuário,93,246.44,Guerra Paulista
38,2023-10-10,Notebook,Eletrônicos,42,251.58,Cunha
39,2023-05-01,Notebook,Eletrônicos,26,50.81,Cunha do Amparo
40,2023-04-26,Camiseta,Vestuário,99,54.94,Ramos dos Dourados
41,2023-08-21,Camiseta,Vestuário,50,305.2,da Luz
42,2023-09-16,Livro,Papelaria,25,281.31,da Cruz
43,2023-12-25,Smartphone,Eletrônicos,24,114.24,Souza Verde
44,2023-07-17,Caneta,Papelaria,13,473.64,Pacheco das Flores
45,2023-05-17,Calça,Vestuário,60,392.84,Câmara Grande
46,2023-11-14,Calça,Vestuário,7,65.6,Borges de Sá
47,2023-06-14,Caneta,Papelaria,57,466.16,Camargo
48,2023-08-13,Livro,Papelaria,36,487.38,Pires
49,2023-11-03,Sandália,Calçados,45,498.01,Vieira
50,2023-08-22,Sandália,Calçados,20,37.38,Peixoto de Minas
51,2023-06-21,Livro,Papelaria,65,371.15,Garcia dos Dourados
52,2023-06-01,Sandália,Calçados,8,277.5,Novaes do Sul
53,2023-11-11,Camiseta,Vestuário,16,355.86,Rodrigues
54,2023-06-09,Calça,Vestuário,14,484.64,Vargas Alegre
55,2023-04-06,Livro,Papelaria,76,347.13,da Rocha
56,2023-08-21,Calça,Vestuário,87,420.11,Castro dos Dourados
57,2023-06-29,Caneta,Papelaria,15,434.77,Silveira
58,2023-04-23,Notebook,Eletrônicos,92,420.86,Montenegro da Serra
59,2023-11-14,Camiseta,Vestuário,98,218.78,Pires
60,2023-02-21,Tênis,Calçados,66,119.06,Porto do Galho
61,2023-09-25,Camiseta,Vestuário,32,204.36,Cassiano
62,2023-10-22,Livro,Papelaria,87,447.03,Teixeira da Serra
63,2023-04-23,Tênis,Calçados,63,81.84,Peixoto
64,2023-04-11,Notebook,Eletrônicos,86,261.53,Mendonça do Sul
65,2023-04-23,Livro,Papelaria,51,124.28,Fonseca
66,2023-03-22,Smartphone,Eletrônicos,25,294.84,da Costa do Norte
67,2023-07-06,Calça,Vestuário,58,432.94,Nunes
68,2023-04-23,Notebook,Eletrônicos,63,441.38,Barros
69,2023-01-02,Calça,Vestuário,62,125.98,Azevedo de Teixeira
70,2023-05-10,Sandália,Calçados,22,454.77,Cardoso
71,2023-08-08,Smartphone,Eletrônicos,58,300.03,Novaes de Cavalcante
72,2023-02-23,Smartphone,Eletrônicos,58,181.61,Moura das Pedras
73,2023-12-09,Notebook,Eletrônicos,86,357.01,Nogueira
74,2023-08-12,Smartphone,Eletrônicos,49,246.02,Silva
75,2023-08-13,Tênis,Calçados,52,195.21,Guerra da Praia
76,2023-05-06,Smartphone,Eletrônicos,42,355.49,Moreira de Machado
77,2023-05-10,Calça,Vestuário,70,131.87,da Cruz
78,2023-02-22,Calça,Vestuário,15,171.82,Azevedo
79,2023-06-21,Livro,Papelaria,54,222.88,Almeida Verde
80,2023-08-06,Calça,Vestuário,60,134.3,Pastor
81,2023-06-09,Livro,Papelaria,97,208.55,Abreu
82,2023-07-17,Calça,Vestuário,8,290.02,Santos
83,2023-09-04,Tênis,Calçados,53,373.08,da Conceição
84,2023-11-20,Caneta,Papelaria,60,385.93,Andrade
85,2023-07-22,Livro,Papelaria,5,413.17,Barbosa do Galho
86,2023-07-03,Camiseta,Vestuário,68,374.66,da Mota
87,2023-05-03,Sandália,Calçados,6,343.71,Cunha de Nogueira
88,2023-09-12,Notebook,Eletrônicos,96,126.38,Silveira
89,2023-10-21,Calça,Vestuário,94,206.11,da Cruz de Viana
90,2023-10-07,Smartphone,Eletrônicos,47,244.08,Jesus de Correia
91,2023-11-21,Caneta,Papelaria,99,50.62,Brito
92,2023-04-08,Calça,Vestuário,55,268.9,Fogaça das Pedras
93,2023-07-17,Smartphone,Eletrônicos,40,223.8,Martins do Norte
94,2023-08-28,Sandália,Calçados,52,403.03,Araújo
95,2023-05-24,Sandália,Calçados,16,489.17,Siqueira Alegre
96,2023-04-07,Sandália,Calçados,13,282.44,da Cruz
97,2023-07-20,Smartphone,Eletrônicos,30,168.12,Correia
98,2023-05-04,Calça,Vestuário,19,31.27,Carvalho de Lima
99,2023-07-06,Sandália,Calçados,17,463.08,da Mota
100,2023-11-22,Tênis,Calçados,63,460.37,da Cruz de Barbosa
101,2023-12-15,Livro,Papelaria,19,133.97,Novaes de Brito
102,2023-09-16,Smartphone,Eletrônicos,92,350.75,Rezende
103,2023-05-28,Smartphone,Eletrônicos,58,46.96,Borges
104,2023-09-09,Calça,Vestuário,55,91.45,Cavalcante
105,2023-12-12,Smartphone,Eletrônicos,90,116.24,Mendonça do Amparo
106,2023-05-27,Smartphone,Eletrônicos,90,154.3,Guerra
107,2023-05-28,Sandália,Calçados,62,497.96,Cavalcante
108,2023-12-18,Calça,Vestuário,23,351.49,Abreu das Flores
109,2023-07-18,Sandália,Calçados,9,198.26,Viana dos Dourados
110,2023-11-04,Livro,Papelaria,12,371.18,Lima da Prata
111,2023-05-08,Caneta,Papelaria,1,458.47,Cassiano de Correia
112,2023-02-08,Livro,Papelaria,58,479.76,Cunha do Norte
113,2023-12-04,Caneta,Papelaria,1,38.35,Souza
114,2023-12-26,Sandália,Calçados,34,203.32,Araújo do Norte
115,2023-05-09,Livro,Papelaria,96,62.31,Montenegro de Moura
116,2023-09-24,Calça,Vestuário,48,174.47,Araújo
117,2023-05-31,Notebook,Eletrônicos,89,93.14,Cirino
118,2023-10-25,Sandália,Calçados,1,326.96,Peixoto
119,2023-04-09,Caneta,Papelaria,16,200.25,Rocha
120,2023-09-20,Tênis,Calçados,61,122.4,Guerra
121,2023-09-09,Caneta,Papelaria,64,140.31,Nunes
122,2023-05-24,Tênis,Calçados,63,186.57,Pacheco
123,2023-12-12,Smartphone,Eletrônicos,69,137.38,Pinto
124,2023-04-22,Livro,Papelaria,22,232.09,Leão
125,2023-03-01,Tênis,Calçados,93,25.83,da Luz do Oeste
126,2023-01-02,Caneta,Papelaria,67,147.08,da Costa Paulista
127,2023-10-31,Smartphone,Eletrônicos,76,211.49,Cardoso da Mata
128,2023-09-11,Notebook,Eletrônicos,26,305.36,Dias de Sá
129,2023-05-20,Calça,Vestuário,16,142.77,Albuquerque
130,2023-02-06,Calça,Vestuário,51,75.26,Pinto de Nunes
131,2023-06-09,Calça,Vestuário,86,47.34,Barbosa
132,2023-01-09,Tênis,Calçados,57,470.86,Montenegro
133,2023-08-21,Notebook,Eletrônicos,29,214.15,Cardoso da Praia
134,2023-04-09,Tênis,Calçados,78,294.77,da Cruz
135,2023-05-27,Livro,Papelaria,92,460.4,da Paz da Serra
136,2023-10-31,Tênis,Calçados,69,50.55,Nogueira de Santos
137,2023-07-27,Notebook,Eletrônicos,47,439.56,Pimenta do Galho
138,2023-05-11,Notebook,Eletrônicos,94,280.28,Rios
139,2023-06-01,Livro,Papelaria,62,90.77,Ribeiro do Campo
140,2023-02-23,Notebook,Eletrônicos,69,211.52,da Luz
141,2023-04-30,Caneta,Papelaria,76,391.03,Caldeira
142,2023-06-10,Notebook,Eletrônicos,16,245.38,da Mata
143,2023-04-26,Calça,Vestuário,90,492.79,Pereira do Oeste
144,2023-03-16,Caneta,Papelaria,90,194.6,Costela Paulista
145,2023-04-23,Caneta,Papelaria,48,377.29,da Cunha de Aragão
146,2023-04-14,Livro,Papelaria,85,202.56,Porto
147,2023-12-06,Camiseta,Vestuário,39,416.29,da Mota do Norte
148,2023-09-11,Camiseta,Vestuário,33,288.85,Farias
149,2023-08-15,Notebook,Eletrônicos,94,41.12,Porto
150,2023-04-22,Caneta,Papelaria,23,28.04,Castro dos Dourados
151,2023-04-09,Camiseta,Vestuário,10,75.59,Novais do Sul
152,2023-06-02,Camiseta,Vestuário,69,16.7,Barbosa
153,2023-12-15,Notebook,Eletrônicos,34,46.93,Nogueira
154,2023-12-04,Camiseta,Vestuário,52,348.94,Freitas
155,2023-07-13,Tênis,Calçados,95,271.83,Lopes
156,2023-11-06,Smartphone,Eletrônicos,10,377.46,Aparecida
157,2023-06-12,Livro,Papelaria,19,457.45,Fonseca do Norte
158,2023-07-27,Smartphone,Eletrônicos,58,296.72,Costela de Goiás
159,2023-06-18,Notebook,Eletrônicos,96,365.8,Fogaça
160,2023-06-10,Calça,Vestuário,1,380.97,Pinto Grande
161,2023-03-09,Livro,Papelaria,69,195.15,Castro
162,2023-10-16,Notebook,Eletrônicos,4,128.13,Jesus
163,2023-10-04,Caneta,Papelaria,16,110.47,Cavalcanti
164,2023-10-31,Calça,Vestuário,24,133.21,Viana das Pedras
165,2023-05-15,Smartphone,Eletrônicos,80,144.62,da Mata
166,2023-07-14,Notebook,Eletrônicos,2,111.54,Viana
167,2023-05-08,Caneta,Papelaria,92,440.33,Garcia
168,2023-02-02,Livro,Papelaria,32,380.93,Melo
169,2023-06-25,Livro,Papelaria,91,32.98,Costa
170,2023-01-22,Sandália,Calçados,84,141.65,Ferreira de das Neves
171,2023-08-26,Caneta,Papelaria,24,20.87,Câmara
172,2023-06-07,Tênis,Calçados,12,254.1,Ribeiro
173,2023-02-07,Camiseta,Vestuário,50,243.34,Guerra
174,2023-08-18,Calça,Vestuário,35,417.37,da Mota de Minas
175,2023-12-31,Caneta,Papelaria,33,160.81,Ferreira do Galho
176,2023-02-20,Sandália,Calçados,33,410.03,Rocha da Prata
177,2023-09-21,Camiseta,Vestuário,61,484.31,Alves do Campo
178,2023-10-10,Camiseta,Vestuário,51,53.32,Cavalcanti Verde
179,2023-01-27,Notebook,Eletrônicos,43,397.99,Andrade do Campo
180,2023-08-14,Camiseta,Vestuário,12,299.08,Ferreira Alegre
181,2023-10-04,Tênis,Calçados,67,245.22,Pereira do Galho
182,2023-10-13,Livro,Papelaria,65,216.06,Gomes
183,2023-04-07,Sandália,Calçados,33,394.49,da Cunha
184,2023-10-11,Camiseta,Vestuário,40,323.29,Santos
185,2023-11-13,Notebook,Eletrônicos,74,404.47,Abreu do Galho
186,2023-10-31,Tênis,Calçados,43,452.54,Fonseca
187,2023-05-27,Smartphone,Eletrônicos,44,312.46,Azevedo Alegre
188,2023-01-04,Livro,Papelaria,29,490.43,Ribeiro do Campo
189,2023-02-04,Livro,Papelaria,13,307.96,Montenegro da Mata
190,2023-07-11,Sandália,Calçados,12,321.96,Duarte das Flores
191,2023-02-18,Livro,Papelaria,95,281.86,Novaes Grande
192,2023-01-17,Camiseta,Vestuário,46,54.59,Leão
193,2023-06-21,Notebook,Eletrônicos,2,365.93,Rocha da Serra
194,2023-08-08,Livro,Papelaria,35,278.25,Guerra da Prata
195,2023-06-07,Livro,Papelaria,87,230.95,da Rosa
196,2023-02-15,Smartphone,Eletrônicos,81,456.13,Costela das Pedras
197,2023-01-06,Smartphone,Eletrônicos,90,156.0,Martins dos Dourados
198,2023-04-09,Calça,Vestuário,8,266.57,Rocha de Cunha
199,2023-08-21,Tênis,Calçados,93,351.84,Vieira de Vieira
200,2023-02-06,Camiseta,Vestuário,26,400.27,Ribeiro
